dataset,init_cls,increment,DOL+GDA_final,DOL+GDA_avg,DOL+Proto_final,DOL+Proto_avg,DOL+mean+GDA_final,DOL+mean+GDA_avg
aircraft,10,10,59.56,70.13,58.33,68.87,55.57,63.59
aircraft,50,10,59.56,63.69,58.33,62.53,55.57,58.84
cars,10,10,90.74,94.30,90.50,94.11,89.66,93.56
cars,50,10,90.74,92.12,90.50,91.74,89.66,91.23
cifar224,10,10,81.34,87.85,80.76,87.51,78.61,85.23
cifar224,50,10,81.34,84.42,80.76,83.96,78.61,81.61
cub200,20,20,81.51,87.53,80.96,86.70,80.24,85.68
cub200,100,20,81.51,84.27,80.96,83.53,80.24,82.14
food101,10,10,84.40,90.00,84.27,89.84,82.63,88.20
food101,50,10,84.40,87.19,84.27,86.96,82.63,85.31
imagenetr,20,20,80.43,85.74,79.87,85.38,79.08,83.59
imagenetr,100,20,80.43,82.39,79.87,81.94,79.08,80.56
objectnet,20,20,47.87,59.89,45.73,58.34,45.99,56.59
objectnet,100,20,47.87,53.04,45.73,51.14,45.99,50.59
sun,30,30,78.94,85.22,78.69,84.91,77.90,83.84
sun,150,30,78.94,81.82,78.69,81.55,77.90,80.63
ucf101,10,10,92.38,95.69,91.93,95.30,87.23,91.54
ucf101,50,10,92.38,94.07,91.93,93.54,87.23,89.52
