method,dataset,init_cls,increment,tasks,final_acc,avg_acc,top1_curve
CLIP+GDA,aircraft,0,10,10/10,55.69,64.6360,"81.55, 74.81, 69.85, 66.59, 65.09, 62.89, 59.14, 56.05, 54.7, 55.69"
CLIP+GDA,aircraft,50,10,6/6,55.69,58.9267,"65.09, 62.89, 59.14, 56.05, 54.7, 55.69"
CLIP+GDA,cars,0,10,10/10,89.74,93.6830,"98.82, 98.67, 97.43, 94.56, 92.05, 92.45, 91.64, 91.04, 90.43, 89.74"
CLIP+GDA,cars,50,10,6/6,89.74,91.2250,"92.05, 92.45, 91.64, 91.04, 90.43, 89.74"
CLIP+GDA,cifar224,0,10,10/10,79.14,85.8450,"96.6, 91.4, 89.6, 87.12, 85.24, 83.92, 83.73, 81.66, 80.04, 79.14"
CLIP+GDA,cifar224,50,10,6/6,79.14,82.2883,"85.24, 83.92, 83.73, 81.66, 80.04, 79.14"
CLIP+GDA,cub200,0,20,10/10,80.75,86.2150,"97.57, 93.17, 89.58, 86.4, 85.86, 83.47, 82.08, 81.97, 81.3, 80.75"
CLIP+GDA,cub200,100,20,6/6,80.75,82.5717,"85.86, 83.47, 82.08, 81.97, 81.3, 80.75"
CLIP+GDA,food101,0,10,10/10,83.19,88.7270,"97.43, 93.07, 91.4, 90.12, 89.05, 87.67, 85.6, 85.1, 84.64, 83.19"
CLIP+GDA,food101,50,10,6/6,83.19,85.8750,"89.05, 87.67, 85.6, 85.1, 84.64, 83.19"
CLIP+GDA,imagenetr,0,20,10/10,78.93,83.9150,"93.9, 89.17, 87.03, 84.75, 82.65, 81.95, 81.04, 80.32, 79.41, 78.93"
CLIP+GDA,imagenetr,100,20,6/6,78.93,80.7167,"82.65, 81.95, 81.04, 80.32, 79.41, 78.93"
CLIP+GDA,objectnet,0,20,10/10,46.26,57.2330,"74.37, 68.2, 64.58, 58.72, 56.79, 54.26, 51.59, 49.36, 48.2, 46.26"
CLIP+GDA,objectnet,100,20,6/6,46.26,51.0767,"56.79, 54.26, 51.59, 49.36, 48.2, 46.26"
CLIP+GDA,sun,0,30,10/10,77.99,84.0220,"92.15, 89.3, 88.92, 85.43, 83.82, 82.65, 81.06, 79.98, 78.92, 77.99"
CLIP+GDA,sun,150,30,6/6,77.99,80.7367,"83.82, 82.65, 81.06, 79.98, 78.92, 77.99"
CLIP+GDA,ucf101,0,10,10/10,88.10,92.3150,"97.23, 97.08, 93.53, 93.06, 93.29, 91.3, 90.09, 89.88, 89.59, 88.1"
CLIP+GDA,ucf101,50,10,6/6,88.10,90.3750,"93.29, 91.3, 90.09, 89.88, 89.59, 88.1"
CLIP+LDA,aircraft,0,10,10/10,55.60,59.6580,"59.23, 66.17, 64.18, 62.41, 61.14, 61.05, 57.85, 55.19, 53.76, 55.6"
CLIP+LDA,aircraft,50,10,6/6,55.63,57.3967,"61.14, 61.15, 57.55, 55.11, 53.8, 55.63"
CLIP+LDA,cars,0,10,10/10,87.88,91.8250,"99.06, 93.93, 95.98, 92.97, 90.68, 90.53, 89.83, 88.92, 88.47, 87.88"
CLIP+LDA,cars,50,10,6/6,87.85,89.3683,"90.63, 90.49, 89.79, 88.92, 88.53, 87.85"
CLIP+LDA,cifar224,0,10,10/10,77.88,84.5080,"96.3, 90.2, 88.57, 85.68, 83.66, 81.88, 82.19, 80.06, 78.66, 77.88"
CLIP+LDA,cifar224,50,10,6/6,77.86,80.7150,"83.66, 81.88, 82.17, 80.06, 78.66, 77.86"
CLIP+LDA,cub200,0,20,10/10,75.78,79.8200,"82.59, 87.44, 82.44, 81.5, 80.81, 77.61, 77.76, 76.1, 76.17, 75.78"
CLIP+LDA,cub200,100,20,6/6,76.04,77.4750,"80.81, 78.11, 77.33, 76.15, 76.41, 76.04"
CLIP+LDA,food101,0,10,10/10,79.29,84.7070,"94.6, 89.21, 86.61, 85.68, 85.16, 83.5, 81.43, 80.97, 80.62, 79.29"
CLIP+LDA,food101,50,10,6/6,79.27,81.8283,"85.16, 83.49, 81.45, 80.96, 80.64, 79.27"
CLIP+LDA,imagenetr,0,20,10/10,76.85,81.4340,"91.0, 86.53, 85.11, 81.95, 80.23, 79.07, 78.31, 78.05, 77.24, 76.85"
CLIP+LDA,imagenetr,100,20,6/6,76.88,78.2967,"80.2, 79.09, 78.26, 78.17, 77.18, 76.88"
CLIP+LDA,objectnet,0,20,10/10,43.23,53.0670,"69.15, 63.6, 60.09, 53.53, 51.65, 50.0, 48.56, 45.89, 44.97, 43.23"
CLIP+LDA,objectnet,100,20,6/6,43.30,47.4100,"51.74, 49.97, 48.49, 45.94, 45.02, 43.3"
CLIP+LDA,sun,0,30,10/10,77.56,83.7300,"92.19, 89.44, 88.7, 85.08, 83.29, 82.33, 80.48, 79.59, 78.64, 77.56"
CLIP+LDA,sun,150,30,6/6,77.66,80.3083,"83.29, 82.29, 80.52, 79.45, 78.64, 77.66"
CLIP+LDA,ucf101,0,10,10/10,90.00,93.5290,"95.65, 97.08, 94.92, 94.6, 94.97, 92.91, 92.17, 91.85, 91.14, 90.0"
CLIP+LDA,ucf101,50,10,6/6,90.00,92.1367,"94.97, 92.91, 92.0, 91.8, 91.14, 90.0"
DOL+GDA,aircraft,0,10,10/10,58.90,69.3150,"87.8, 80.48, 74.73, 73.24, 70.3, 67.23, 62.94, 59.54, 57.99, 58.9"
DOL+GDA,aircraft,50,10,6/6,58.90,62.8167,"70.3, 67.23, 62.94, 59.54, 57.99, 58.9"
DOL+GDA,cars,0,10,10/10,90.72,94.3340,"99.06, 98.67, 97.67, 95.17, 93.28, 93.51, 92.31, 91.68, 91.27, 90.72"
DOL+GDA,cars,50,10,6/6,90.72,92.1283,"93.28, 93.51, 92.31, 91.68, 91.27, 90.72"
DOL+GDA,cars_bak_bias,0,10,10/10,90.72,94.3340,"99.06, 98.67, 97.67, 95.17, 93.28, 93.51, 92.31, 91.68, 91.27, 90.72"
DOL+GDA,cars_bak_bias,50,10,6/6,90.72,92.1283,"93.28, 93.51, 92.31, 91.68, 91.27, 90.72"
DOL+GDA,cifar224,0,10,10/10,80.80,87.5700,"97.1, 93.7, 91.67, 88.95, 87.22, 85.7, 85.54, 83.3, 81.72, 80.8"
DOL+GDA,cifar224,50,10,6/6,80.80,84.0467,"87.22, 85.7, 85.54, 83.3, 81.72, 80.8"
DOL+GDA,cub200,0,20,10/10,81.72,87.5060,"96.76, 94.27, 91.37, 88.36, 87.37, 85.45, 83.91, 83.24, 82.61, 81.72"
DOL+GDA,cub200,100,20,6/6,81.72,84.0500,"87.37, 85.45, 83.91, 83.24, 82.61, 81.72"
DOL+GDA,food101,0,10,10/10,84.09,89.7760,"97.82, 94.67, 92.6, 91.36, 90.17, 88.74, 86.64, 86.09, 85.58, 84.09"
DOL+GDA,food101,50,10,6/6,84.09,86.8850,"90.17, 88.74, 86.64, 86.09, 85.58, 84.09"
DOL+GDA,imagenetr,0,20,10/10,80.00,85.3970,"96.66, 90.92, 88.58, 86.23, 84.25, 83.18, 82.18, 81.47, 80.5, 80.0"
DOL+GDA,imagenetr,100,20,6/6,80.00,81.9300,"84.25, 83.18, 82.18, 81.47, 80.5, 80.0"
DOL+GDA,objectnet,0,20,10/10,47.65,59.5830,"80.0, 71.09, 67.36, 60.85, 58.72, 56.13, 53.52, 50.97, 49.54, 47.65"
DOL+GDA,objectnet,100,20,6/6,47.65,52.7550,"58.72, 56.13, 53.52, 50.97, 49.54, 47.65"
DOL+GDA,sun,0,30,10/10,78.64,84.9980,"94.01, 90.26, 89.68, 86.5, 84.91, 83.63, 81.91, 80.79, 79.65, 78.64"
DOL+GDA,sun,150,30,6/6,78.64,81.5883,"84.91, 83.63, 81.91, 80.79, 79.65, 78.64"
DOL+GDA,ucf101,0,10,10/10,91.63,95.2020,"99.6, 99.03, 96.7, 96.05, 95.27, 94.59, 93.26, 93.19, 92.7, 91.63"
DOL+GDA,ucf101,50,10,6/6,91.63,93.4400,"95.27, 94.59, 93.26, 93.19, 92.7, 91.63"
DOL+Proto,aircraft,0,10,10/10,56.53,67.9280,"86.61, 78.99, 73.93, 72.2, 69.64, 66.08, 61.1, 58.0, 56.2, 56.53"
DOL+Proto,aircraft,50,10,6/6,56.53,61.2583,"69.64, 66.08, 61.1, 58.0, 56.2, 56.53"
DOL+Proto,cars,0,10,10/10,90.25,94.1380,"99.29, 98.91, 97.59, 94.87, 92.59, 92.94, 92.34, 91.68, 90.92, 90.25"
DOL+Proto,cars,50,10,6/6,90.25,91.7867,"92.59, 92.94, 92.34, 91.68, 90.92, 90.25"
DOL+Proto,cars_bak_bias,0,10,10/10,90.25,94.1380,"99.29, 98.91, 97.59, 94.87, 92.59, 92.94, 92.34, 91.68, 90.92, 90.25"
DOL+Proto,cars_bak_bias,50,10,6/6,90.25,91.7867,"92.59, 92.94, 92.34, 91.68, 90.92, 90.25"
DOL+Proto,cifar224,0,10,10/10,80.17,87.1890,"97.1, 93.65, 91.27, 88.5, 86.92, 85.15, 85.03, 82.91, 81.19, 80.17"
DOL+Proto,cifar224,50,10,6/6,80.17,83.5617,"86.92, 85.15, 85.03, 82.91, 81.19, 80.17"
DOL+Proto,cub200,0,20,10/10,80.45,86.7010,"96.76, 93.39, 90.48, 86.51, 85.86, 85.1, 84.03, 82.71, 81.72, 80.45"
DOL+Proto,cub200,100,20,6/6,80.45,83.3117,"85.86, 85.1, 84.03, 82.71, 81.72, 80.45"
DOL+Proto,food101,0,10,10/10,83.97,89.6420,"97.72, 94.54, 92.53, 91.31, 90.03, 88.7, 86.29, 85.86, 85.47, 83.97"
DOL+Proto,food101,50,10,6/6,83.97,86.7200,"90.03, 88.7, 86.29, 85.86, 85.47, 83.97"
DOL+Proto,imagenetr,0,20,10/10,79.23,85.0620,"95.94, 90.92, 88.48, 86.35, 84.02, 83.16, 81.85, 80.78, 79.89, 79.23"
DOL+Proto,imagenetr,100,20,6/6,79.23,81.4883,"84.02, 83.16, 81.85, 80.78, 79.89, 79.23"
DOL+Proto,objectnet,0,20,10/10,45.25,58.1020,"79.86, 70.72, 66.55, 59.62, 56.57, 54.53, 51.79, 48.82, 47.31, 45.25"
DOL+Proto,objectnet,100,20,6/6,45.25,50.7117,"56.57, 54.53, 51.79, 48.82, 47.31, 45.25"
DOL+Proto,sun,0,30,10/10,78.27,84.5430,"93.53, 89.85, 89.16, 85.99, 84.3, 83.1, 81.63, 80.43, 79.17, 78.27"
DOL+Proto,sun,150,30,6/6,78.27,81.1500,"84.3, 83.1, 81.63, 80.43, 79.17, 78.27"
DOL+Proto,ucf101,0,10,10/10,90.87,94.8460,"99.6, 98.64, 96.83, 95.85, 95.19, 93.94, 92.99, 92.57, 91.98, 90.87"
DOL+Proto,ucf101,50,10,6/6,90.87,92.9233,"95.19, 93.94, 92.99, 92.57, 91.98, 90.87"
SimpleCIL,aircraft,0,10,10/10,47.94,58.4760,"77.68, 69.0, 64.28, 60.84, 58.68, 56.76, 52.55, 49.53, 47.5, 47.94"
SimpleCIL,aircraft,50,10,6/6,47.94,52.1600,"58.68, 56.76, 52.55, 49.53, 47.5, 47.94"
SimpleCIL,cars,0,10,10/10,86.97,92.1130,"98.58, 98.06, 96.78, 93.4, 90.24, 90.86, 89.51, 88.77, 87.96, 86.97"
SimpleCIL,cars,50,10,6/6,86.97,89.0517,"90.24, 90.86, 89.51, 88.77, 87.96, 86.97"
SimpleCIL,cifar224,0,10,10/10,76.63,84.1470,"96.6, 90.05, 88.3, 85.3, 83.46, 82.15, 81.86, 79.56, 77.56, 76.63"
SimpleCIL,cifar224,50,10,6/6,76.63,80.2033,"83.46, 82.15, 81.86, 79.56, 77.56, 76.63"
SimpleCIL,cub200,0,20,10/10,77.52,83.8250,"96.76, 91.85, 87.35, 83.68, 83.33, 81.07, 79.34, 79.11, 78.24, 77.52"
SimpleCIL,cub200,100,20,6/6,77.52,79.7683,"83.33, 81.07, 79.34, 79.11, 78.24, 77.52"
SimpleCIL,food101,0,10,10/10,81.70,87.8930,"97.18, 92.72, 90.8, 89.54, 88.42, 87.0, 84.36, 83.9, 83.31, 81.7"
SimpleCIL,food101,50,10,6/6,81.70,84.7817,"88.42, 87.0, 84.36, 83.9, 83.31, 81.7"
SimpleCIL,imagenetr,0,20,10/10,74.55,81.1340,"93.03, 88.27, 85.94, 82.59, 79.83, 78.46, 77.34, 76.21, 75.12, 74.55"
SimpleCIL,imagenetr,100,20,6/6,74.55,76.9183,"79.83, 78.46, 77.34, 76.21, 75.12, 74.55"
SimpleCIL,objectnet,0,20,10/10,40.13,52.0550,"73.24, 64.12, 59.03, 53.49, 50.98, 48.48, 45.83, 43.16, 42.09, 40.13"
SimpleCIL,objectnet,100,20,6/6,40.13,45.1117,"50.98, 48.48, 45.83, 43.16, 42.09, 40.13"
SimpleCIL,sun,0,30,10/10,75.60,82.1540,"90.76, 87.73, 87.38, 83.79, 81.98, 80.75, 79.14, 77.85, 76.56, 75.6"
SimpleCIL,sun,150,30,6/6,75.60,78.6467,"81.98, 80.75, 79.14, 77.85, 76.56, 75.6"
SimpleCIL,ucf101,0,10,10/10,85.79,90.4110,"95.65, 95.71, 92.64, 91.61, 91.84, 88.79, 87.46, 87.3, 87.32, 85.79"
SimpleCIL,ucf101,50,10,6/6,85.79,88.0833,"91.84, 88.79, 87.46, 87.3, 87.32, 85.79"
ldaclip,cars,0,10,10/10,90.45,93.8420,"98.35, 98.06, 97.27, 94.5, 92.3, 92.66, 92.13, 91.29, 91.41, 90.45"
ldaclip,cars,50,10,6/6,90.55,91.6567,"92.3, 92.57, 91.92, 91.44, 91.16, 90.55"
simplegdaclip,cars,0,10,10/10,89.74,93.6830,"98.82, 98.67, 97.43, 94.56, 92.05, 92.45, 91.64, 91.04, 90.43, 89.74"
simplegdaclip,cars,50,10,6/6,90.72,92.1283,"93.28, 93.51, 92.31, 91.68, 91.27, 90.72"
simplegdaclip,cifar224,0,10,10/10,79.14,85.8450,"96.6, 91.4, 89.6, 87.12, 85.24, 83.92, 83.73, 81.66, 80.04, 79.14"
simplegdaclip,cifar224,50,10,6/6,80.80,84.0467,"87.22, 85.7, 85.54, 83.3, 81.72, 80.8"
simplegdaclip,cub200,0,20,0/10,,,
