dataset,init_cls,increment,setting,alpha,lambda_sep,epoch,seed,final,avg
aircraft,10,10,aircraft 10/10,0.5,0.5,5,1993,57.49,66.495
aircraft,10,10,aircraft 10/10,0.5,0.5,10,1993,57.76,66.792
aircraft,10,10,aircraft 10/10,0.5,0.5,15,1993,58.06,67.37100000000001
aircraft,10,10,aircraft 10/10,0.5,1.0,5,1993,57.55,66.49199999999999
aircraft,10,10,aircraft 10/10,0.5,1.0,10,1993,57.85,66.801
aircraft,10,10,aircraft 10/10,0.5,1.0,15,1993,58.06,67.362
aircraft,10,10,aircraft 10/10,0.5,2.0,5,1993,57.55,66.48599999999999
aircraft,10,10,aircraft 10/10,0.5,2.0,10,1993,57.85,66.797
aircraft,10,10,aircraft 10/10,0.5,2.0,15,1993,58.06,67.36299999999999
aircraft,10,10,aircraft 10/10,1.0,0.5,5,1993,58.03,68.22600000000001
aircraft,10,10,aircraft 10/10,1.0,0.5,10,1993,58.9,69.315
aircraft,10,10,aircraft 10/10,1.0,0.5,15,1993,59.56,70.127
aircraft,10,10,aircraft 10/10,1.0,1.0,5,1993,58.03,68.22600000000001
aircraft,10,10,aircraft 10/10,1.0,1.0,10,1993,58.9,69.315
aircraft,10,10,aircraft 10/10,1.0,1.0,15,1993,59.56,70.127
aircraft,10,10,aircraft 10/10,1.0,2.0,5,1993,58.03,68.22600000000001
aircraft,10,10,aircraft 10/10,1.0,2.0,10,1993,58.9,69.315
aircraft,10,10,aircraft 10/10,1.0,2.0,15,1993,59.56,70.133
aircraft,10,10,aircraft 10/10,2.0,0.5,5,1993,57.82,68.02700000000002
aircraft,10,10,aircraft 10/10,2.0,0.5,10,1993,58.81,69.321
aircraft,10,10,aircraft 10/10,2.0,0.5,15,1993,59.83,69.993
aircraft,10,10,aircraft 10/10,2.0,1.0,5,1993,57.82,68.02700000000002
aircraft,10,10,aircraft 10/10,2.0,1.0,10,1993,58.81,69.321
aircraft,10,10,aircraft 10/10,2.0,1.0,15,1993,59.83,69.993
aircraft,10,10,aircraft 10/10,2.0,2.0,5,1993,57.82,68.02700000000002
aircraft,10,10,aircraft 10/10,2.0,2.0,10,1993,58.81,69.321
aircraft,10,10,aircraft 10/10,2.0,2.0,15,1993,59.83,69.993
aircraft,50,10,aircraft 50/10,0.5,0.5,5,1993,57.49,60.848333333333336
aircraft,50,10,aircraft 50/10,0.5,0.5,10,1993,57.76,61.13833333333333
aircraft,50,10,aircraft 50/10,0.5,0.5,15,1993,58.06,61.57666666666666
aircraft,50,10,aircraft 50/10,0.5,1.0,5,1993,57.55,60.86000000000001
aircraft,50,10,aircraft 50/10,0.5,1.0,10,1993,57.85,61.153333333333336
aircraft,50,10,aircraft 50/10,0.5,1.0,15,1993,58.06,61.56166666666667
aircraft,50,10,aircraft 50/10,0.5,2.0,5,1993,57.55,60.866666666666674
aircraft,50,10,aircraft 50/10,0.5,2.0,10,1993,57.85,61.14666666666667
aircraft,50,10,aircraft 50/10,0.5,2.0,15,1993,58.06,61.574999999999996
aircraft,50,10,aircraft 50/10,1.0,0.5,5,1993,58.03,61.67833333333334
aircraft,50,10,aircraft 50/10,1.0,0.5,10,1993,58.9,62.81666666666666
aircraft,50,10,aircraft 50/10,1.0,0.5,15,1993,59.56,63.68666666666667
aircraft,50,10,aircraft 50/10,1.0,1.0,5,1993,58.03,61.67833333333334
aircraft,50,10,aircraft 50/10,1.0,1.0,10,1993,58.9,62.81666666666666
aircraft,50,10,aircraft 50/10,1.0,1.0,15,1993,59.56,63.68666666666667
